ISO3,Country,Continent,Hemisphere,Human Development Groups,UNDP Developing Regions,HDI Rank (2021),Inequality in income (2010),Inequality in income (2011),Inequality in income (2012),Inequality in income (2013),Inequality in income (2014),Inequality in income (2015),Inequality in income (2016),Inequality in income (2017),Inequality in income (2018),Inequality in income (2019),Inequality in income (2020),Inequality in income (2021),PCA1,PCA2,Cluster,Inequality Status
SAU,Saudi Arabia,Asia,Northern Hemisphere,Very High,AS,-1.08681629742034,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
SDN,Sudan,Africa,Northern Hemisphere,Low,AS,1.42644032391616,-0.237476545046249,-0.199102086917046,-0.190228565055319,-0.158998762591553,1.45377894861637,1.48975765509353,1.47478509651446,1.49878983030795,1.51130831596717,1.5159585342865,1.55500206994821,1.55500206994821,3.31515798242979,-2.54064263232278,1,Medium Inequality
SEN,Senegal,Africa,Northern Hemisphere,Low,SSA,1.38975044623242,0.475540101040115,0.49816217574918,0.49542143549325,0.534292652772462,0.562337373223705,0.585480250283853,0.555325655507425,0.577878558669259,0.186224919614369,0.191742157207885,0.236164797193767,0.236164797193767,1.47935727609561,0.314560368080835,0,Low Inequality
SGP,Singapore,Asia,Northern Hemisphere,Very High,EAP,-1.5087498907834,0.0441118393281572,0.253494372006949,0.306906988818761,0.343677255052116,0.370848589141565,0.391234227325271,0.357818409680654,0.380059448004654,0.40345269769922,0.408827800336547,0.452368615915267,0.452368615915267,1.21265936214816,-0.284601396082383,0,Low Inequality
SLB,Solomon Islands,Oceania,Southern Hemisphere,Medium,EAP,1.11457636360434,0.466300793795445,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.115717878929315,0.306296212844136,0,Low Inequality
SLE,Sierra Leone,Africa,Northern Hemisphere,Low,SSA,1.59154477349302,-0.722533280386046,-0.673442663359947,-0.656668097255994,-0.425952958310498,-0.402308015792849,-0.393055026755778,-0.439638383234532,-0.62492507257358,-0.59176274027131,-0.294140318396344,-0.247743973379467,-0.247743973379467,-1.63877641549166,-0.429714352141673,0,Low Inequality
SLV,El Salvador,America,Northern Hemisphere,Medium,LAC,0.564228198348167,0.676887773119652,0.48647158770602,0.426140356041704,0.698843721564852,0.433112154377055,0.30012812302215,0.215692370563872,-0.0581563670689736,0.0550367025806974,0.0674239084863802,0.112351542097811,0.112351542097811,1.00245776861972,0.750940931554455,0,Low Inequality
SMR,San Marino,Europe,Northern Hemisphere,Very High,SSA,-0.921711847843488,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,-0.029889855523742,-0.0590572403800328,-0.0697100602763406,-0.0767876066036791,-0.102701360690709,-0.102701360690709,-0.25004939233654,0.0370541826316204,0,Low Inequality
SOM,Somalia,Africa,Northern Hemisphere,Very High,AS,0.032224971933871,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,-0.0796525199518605,-0.115761004529523,-0.0921498200320227,0.273013539441196,0.295120670490077,0.319339578607381,0.324769717550849,0.368651985783699,0.368651985783699,0.448341002815993,-0.539676019722621,0,Low Inequality
SRB,Serbia,Europe,Northern Hemisphere,Very High,ECA,-0.573158009847915,-0.0459981079053174,-0.0555774666642547,-0.0316169786887095,0.172491968285075,0.289557328749893,0.174029931923172,0.111205071933059,0.814290313857811,0.224048223548533,0.229540712863099,-0.43423683510714,-0.43423683510714,0.300771974212703,-0.107883960256777,0,Low Inequality
